Text,Generated
"3.2题目代码（带注释）#include<iostream>#include<algorithm>usingnamespacestd;//createaclassforfractionclassfraction{private:public://initialize2variabletopandbottostorethevalueofnumeratoranddenominatorinttop;intbot;//constructorfraction(){top=1;bot=1;}//whencreatingthefractionclass,convertthefractionsothatItbecomesanirreduciblefractionfraction(inta,intb){intk;for(inti=1;i<=b;i++){if(a%i==0&&b%i==0){k=i;}}top=a/k;bot=b/k;}//define+operatorforfractionclassfractionoperator+(constfraction&secFrac){intc1=top*secFrac.bot+bot*secFrac.top;intc2=bot*secFrac.bot;returnfraction(c1,c2);}//createfunctiontoprintoutfractionvoidprintFraction(){cout<<top<<""""<<bot<<endl;}};intmain(){//readinnumberoftestcase,setcodetorunforntimesintn;cin>>n;while(n--){//create2fractionobjecttoundergo+operationinta1,a2,b1,b2;cin>>a1>>a2>>b1>>b2;fractiona(a1,a2),b(b1,b2);fractionc=a+b;c.printFraction();}return0;}4.实数计算4.1题目分析制定一个复数的类，类有两个变量：实数与复数，以及一个void函数printout，用以输出复数。过后需为此类定义一个加法操作符，才可以实现复数的和。程序的实际内容如下：1.类构造函数：将实数与复数的数值进行赋值，。2.加法操作符：此操作符可以接受另一个复数类作为参数，并且会返回两个分数进行加法运算后所得的新复数类对象。3.输出复数：此void函数会将分数以“实数复数”的形式输出。",0
"如果没有，返回-1intlocate(constfloat&a1)初始条件：线性表T已存在，查找元素a1已给出操作结果：如果找到与元素a1值相同的位置，返回位置，如果没有，返回-1voidreverse()初始条件：线性表T已存在操作结果：使元素倒叙排列voidprint()初始条件：线性表T已经存在操作结果：按序输出数组};ADTlistNode{数据对象：D={next，data}数据关系：R={<next,data>}基本操作：listNode(){next=NULL;data=0;}操作结果：构造了next,data,并为之初始化listNode(floatnodeData,listNode*succ=NULL)初始条件：已有next,data操作结果：将next，data，的值依次赋给succ,nodeData~listNode()操作结果：next被销毁};ADTlinkList{数据对象：D={ai|ai∈Elemset,i=1,2,…,n,n≥0}数据关系：R={<ai−1,ai>|ai−1,ai∈D,i=2,…,n}基本操作：linkList()操作结果：构造类，进行初始化linkList(constint&a1,floatT[])操作结果：构造了链表T,元素a1被赋予参数a1的值~linkList(&T)操作结果：链表T被销毁friendvoidmerge(linkList&,linkList&)操作结果：构造友元函数boolheadInsertItem(constfloat&a1)初始条件：链表T已存在，插入元素a1已给出操作结果：添加元素链表头，成功返回true，失败返回falsebooltailInsertItem(constfloat&a1)初始条件：链表T已存在，插入元素a1已给出操作结果：添加元素链表尾，成功返回true，失败返回falseintinsertItem(constint&index,constfloat&a1)初始条件：链表T已存在，插入元素a1已给出，插入位置index已给出操作结果：如果找到index位置，插入元素并返回插入元素位置，如果没有，返回-1intdeleteItem(constfloat&a1)初始条件：链表T已存在，删除元素a1已给出操作结果：如果找到与元素a1值相同的位置，删除元素并返回删除位置，如果没有，返回-1boollocate(constint&a1,float&a)初始条件：链表T已存在，查找元素a1已给出操作结果：如果找到与元素a1值相同的位置，返回true，并将值放入a中。如果没有，返回-1intlocate(constfloat&a1)初始条件：链表T已存在，查找元素a1已给出操作结果：如果找到与元素a1值相同的位置，返回位置，如果没有，返回-1voidascendingOrder()初始条件：链表T已存在操作结果：使元素升叙排列voidreverse()初始条件：链表T已存在操作结果：使元素倒叙排列voidprint()初始条件：链表T已经存在操作结果：按序输出数组voidmerge(linkList&A,linkList&B)初始条件：已有两个线性表A,B操作结果：输入后按元素值递增次序排列。将这两个单链表归并为一个按元素值递减次序排列的单链表，利用原来两个单链表的结点存放归并后的单链表,结果存在A线性表中。2.算法(伪码、思路)插入，删除，查找元素等都需要对线性表或者链表进行遍历，进行循环从而判断从哪里插入或删除元素，或者是查找元素并返回位置或者值等等，依照此思路，并对每个函数的作用进行分析，以及要注意函数要求我们返回的值，并为之编写代码即可3.程序代码（包括注释，提交源码文件）四、调试分析未初始化变量，使用未初始化的内存，取消对NULL指针的应用等问题，以及在初始化是出现的一些错误以及警告需要重点注意，在此方面进行多轮调试与修改。本次实验在初始化方面有很大挑战，进行的多次调试。",0
假设接收方正在等待的最低序列号为m。此时它的窗口是[m，m+w-1]，并且已经接收、并确认了m-1和其前面的w-1个数据包，其中w是窗口的大小。如果发送方还没有收到这w个ACK，则带有值[m-w，m-1]的ACK消息仍然可以返回。如果发送方没有收到这些ACK，则它的窗口将是[m-w，m-1]。因此，发送方窗口的下边缘是m-w，接收方窗口的上边缘是m+w-1。,0
另一方面，使用图像得到的三维模型也可以给机器使用，模型本身是给机器用来进行路径规划、场景的感知、空间高精度定位的。目前的实景三维模型由于没有任何的语义信息，使得三维模型在扩展应用方面受到限制。随着近年来一些新兴技术的出现如室内定位、自动驾驶、增强现实等，国内外众多学者针对语义建模开展了大量相关研究，根据数据源、建模方法和实际需求的不同，衍生出多种不同的建模方法。但是语义化重建始终是一项具有挑战性的课题，目前能够提供语义信息的方法，大多需要大量的人工干预，自动化程度低。由此我们可以看出，语义网络在计算机科学领域有着极大的应用场景。,0
其主要特征是什么？答：由输入设备，输出设备，存储器，运算器，控制器构成。其主要特征是“共享数据和串行执行”的计算机模型。2.处理器执行程序的时间由哪几个因素决定？答：处理器执行程序的时间由以下因素决定:1.处理器的核数2.处理器的主频3.缓存的容量4.处理器的指令集3.请查阅资料并回答什么是CISC处理器，什么是RISC处理器，两者的区别是什么？,0
所有接下来我们做了两种设定，并计算了其指标：report.md2023-10-3014/141.推荐列表⻓度为102.1.推荐列表⻓度为测试数据集中每个⽤户记录的电影平均数量2.,0
因为人类大脑的数据处理方式在目前大多数的计算机体系中较难实现，所以现在我们的重点在于发展神经形态芯片，令人欣喜的是，这种芯片发展迅猛。让神经科学领域所发现的人脑中数据运行的方法运用到人工智能中指日可待，这便是认知科学与人工智能联合应用的最好范例。而认知科学的发展首先在原来的6个支撑学科内部产生了6个新的发展方向，这就是心智哲学、认知心理学、认知语言学(或称语言与认知)、认知人类学(或称文化、进化与认知)、人工智能和认知神经科学。这6个新兴学科是认知科学的6大学科分支。这6个支撑学科之间互相交叉，又产生出11个新兴交叉学科：（1）控制论；（2）神经语言学；（3）神经心理学；（4）认知过程仿真；（5）计算语言学；（6）心理语言学；（7）心理哲学；（8）语言哲学；（9）人类学语言学；（10）认知人类学；（11）脑进化。,0
"同时，对于二叉排序树，要充分理解它的形成和存储形态，熟练应用递归解决相关问题，二叉排序树相关问题，对基本操作以及基础应用要求较大五、测试结果输入数据和输出数据示例#include<iostream>#include""myGraph.h""usingnamespacestd;intmain(){intn1=6;intdata1[6]={1,2,4,5,6,9};SSTables(n1,data1);cout<<s.binSearch(4)<<endl;cout<<s.binSearch(7)<<endl;intn2=5;intdata2[5]={3,1,2,5,4};BSTreeb(n2,data2);cout<<b.printTree()<<endl;cout<<b.searchNode(2)<<endl;cout<<b.searchNode(7)<<endl;21cout<<b.addNode(7)<<endl;cout<<b.addNode(7)<<endl;cout<<b.deleteNode(2)<<endl;cout<<b.deleteNode(2)<<endl;cout<<b.printTree()<<endl;cout<<b.searchNode(2)<<endl;cout<<b.searchNode(7)<<endl;return0;}/*控制台运行结果为：2-1312541010103154701*/",0
"三、实验步骤1.加载预训练CNN网络，观察其物体识别效果以及每层的中间结果，分析CNN与人脑视觉信息加工机制的异同。该实验在浏览器页面训练卷积神经网络时为得到90%的准确率，其中人类表现约为94%，其训练模型如下：可以看到，在训练量约为16K时，曲线（LOSS）逐渐在一定范围内波动。当再次增加训练量达到25K时，可以看到曲线会更加的稳定。展现的卷积神经网络结构如下：layer_defs=[];layer_defs.push({type:'input',out_sx:32,out_sy:32,out_depth:3});layer_defs.push({type:'conv',sx:5,filters:16,stride:1,pad:2,activation:'relu'});layer_defs.push({type:'pool',sx:2,stride:2});layer_defs.push({type:'conv',sx:5,filters:20,stride:1,pad:2,activation:'relu'});layer_defs.push({type:'pool',sx:2,stride:2});layer_defs.push({type:'conv',sx:5,filters:20,stride:1,pad:2,activation:'relu'});layer_defs.push({type:'pool',sx:2,stride:2});layer_defs.push({type:'softmax',num_classes:10});net=newconvnetjs.Net();net.makeLayers(layer_defs);trainer=newconvnetjs.SGDTrainer(net,{method:'adadelta',batch_size:4,l2_decay:0.0001});以下是一些可视化部分：输入层图32*32*3第一层卷积：原始图片经过卷积后的特征图：特征图经过ReLU后的结果ReLU_1_map：ReLU_1_map经过pooling后的结果pooling_1_map：第二层卷积:pooling_1_map经过卷积后的特征图conv_2_map：conv_2_map经过ReLU后的结果ReLU_2_map：ReLU_2_map经过pooling后的结果pooling_2_map：第三层卷积:pooling_2_map经过卷积后的特征图conv_3_map:conv_3_map经过ReLU后的结果ReLU_3_map:ReLU_3_map经过pooling后的结果pooling_3_map:将pooling_3_map进行reshape操作后与10个隐层节点全连接：一些结果图如下：2.调整网络参数参数共有4个，分别为学习率（Learningrate），动量（Momentum），批量（Batchsize）和权值衰减（Weightdecay）。LearningRate（学习率）：学习率是控制优化算法在每次参数更新时的步幅大小。",0
5.财务分析和预测企业在财务决策中也广泛应用机器学习。通过对财务数据的分析，机器学习模型可以帮助企业预测销售收入、控制成本，并提供财务决策方面的智能建议。6.实时业务智能机器学习在实时业务智能方面发挥着越来越重要的作用。通过实时监控和分析大量数据，企业可以迅速做出决策并调整业务策略，适应市场的变化和客户的需求。,1
X1(B)：事务1升级了S1(A)为排他锁X1(B)。w2C：事务2对元素C进行写操作，升级共享锁S2(B)为更新锁U2(C)。X2(C)：事务2升级了S2(B)为排他锁X2(C)。w3A：事务3对元素A进行写操作，升级共享锁S3(C)为更新锁U3(A)。X3(A)：事务3升级了S3(C)为排他锁X3(A)。,0
综合来看，代码在等误识率方面表现良好，达到了28.75%的性能。实践心得声纹识别是一种生物特征识别技术，通过分析个体的声音特征来进行身份验证或识别。本实验旨在实现基于x-vector的声纹识别系统的训练和验证。通过本次实验我了解了声纹识别系统的训练流程涉及多个关键步骤，为以下三点：1.数据采集和预处理：声音数据的采集和预处理是声纹识别的第一步。音频数据需要被转换成适合神经网络处理的格式，通常是提取特征向量，如MFCC。,0
例如，把字符串传入getbuf栈中，由于hexmatch中有char*s=cbuf+random()%100，就可能被hexmatch覆盖。所以不可以在缓冲区随便放地址了，于是我考虑了两种情况，放到touch3上面的地址或者加入指令来修改%rsp栈指针的值。简便一点我就取上方了。是这样得到的，当前%rsp为0x5561dca0，那么（0x5561dca0+0x8=0x5561dca8）返回地址再上八个字节，得到注入代码因此得到了输入字符序列为：调用hex2raw，得到的结果：任务三通过。5.实验总结及心得体会（代码注入攻击的总结，实验中遇到的问题及解决方法等）寄存器的使用：%rax作为函数返回值使用。,0
成功执⾏。,0
"R7.Whyareacknowledgmentsusedin802.11butnotinwiredEthernet?解：有线以太网的数据传输相对稳定可靠，因此不需要ack。P6.Instep4oftheCSMA/CAprotocol,astationthatsuccessfullytransmitsaframebeginstheCSMA/CAprotocolforasecondframeatstep2,ratherthanatstep1.WhatrationalemightthedesignersofCSMA/CAhavehadinmindbyhavingsuchastationnottransmitthesecondframeimmediately(ifthechannelissensedidle)?解：考虑的是公平性，如果A先发送，B监听到busy，进入第二步，要等DIFS加一段时间，而这时刚好A发用完第一帧，如果A回到第一步，只需要等DIFS，那么A的第二帧会比B先发送，以此类推，导致对B不公平。",0
整个工程的顶层模块如图2-4所示，输入/输出端口如表2-2所示。注意，顶层模块由两个子模块组成，其中，一个是ALU单元，另一个是7段数码管动态显示扫描单元。只需要实现ALU单元即可，动态显示扫描单元在工程中直接提供。三．实验原理与步骤（注：步骤不用写工具的操作步骤，而是设计步骤）1.写出全加器fulladder.sv代码。2.给出行波进位加法器rsa.sv的代码。,0
"论人工智能的应用及发展前景郁佩瑶天津大学摘要：自“人工智能”这一概念被首次提出至今，它以极快的速度发展并凭借其交叉学科的优势应用到各个领域。无论是在计算机网络技术领域、公共卫生领域或是刑事司法领域，人工智能都已经发挥着很重要的作用，其应用优势也在逐步扩大。同时在其余各个人工智能已经在逐步应用的行业，它也展现出了无比光明的发展前景。关键词：人工智能；发展前景；应用研究OntheApplicationandDevelopmentProspectofArtificialIntelligenceYuPeiyaoTianjinuniversityAbstract:Sincetheconceptof""artificialintelligence""wasfirstproposed,ithasdevelopedatanextremelyfastspeedandappliedtovariousfieldswithitsinterdisciplinaryadvantages.Whetherinthefieldofcomputernetworktechnology,publichealthorcriminaljustice,AIhasplayedaveryimportantrole,anditsapplicationadvantagesaregraduallyexpanding.Atthesametime,inotherindustrieswhereAIhasbeengraduallyapplied,italsoshowsaverybrightdevelopmentprospect.KeyWords:Artificialintelligence;Developmentprospect;Appliedresearch1引言约翰·麦卡锡等科学家曾在1956年的美国达特茅斯会议中正式提出人工智能这一概念——任何有助于让机器（尤其是计算机）模拟、延申和扩展人类智能的理论、方法和技术，都可视为人工智能的范畴。距这一理论提出66年的今天，人工智能已经成为一个涉及计算机科学、控制科学、生命科学（脑科学）、数学、哲学、认知科学等多学科的交叉技术领域，展现出无比光明的发展前景。",0
社交网络中的推荐系统：AI的推荐算法在社交网络中发挥了重要作用，通过分析用户的历史行为，为其推荐潜在感兴趣的人、活动或内容。这使得社交网络的内容更加个性化，但也引发了信息过滤和社交同质化的担忧。虚拟社交现实（VR）：VR技术结合AI使得虚拟社交成为可能。用户可以通过虚拟环境中的虚拟形象与其他用户进行互动，这拓展了社交网络的形式，但也引发了一系列关于虚拟社交现实中道德和心理健康问题的讨论。,1
这种形式的学习方式可以提供更加灵活的学习时机，满足学生的个体需求。语言大数据分析：通过分析大量学生的语言学习数据，人工智能可以揭示学生在语言学习中的模式和趋势。这有助于教育者制定更科学的教学策略，改善教育质量。虚拟实境（VR）与增强实境（AR）：利用虚拟实境和增强实境技术，学生可以沉浸式地参与语言学习场景，提高学习的互动性和趣味性。,1
2.虚拟现实与心理疗法结合虚拟现实技术和人工智能，设计心理疗法实验成为一种创新的方法。在虚拟环境中，人工智能系统可以模拟不同场景和互动，以观察个体对特定刺激的反应，从而帮助研究人员更好地理解和处理心理疾病。3.学习与记忆实验人工智能可以用于设计学习和记忆实验，通过自适应算法调整学习任务的难度，以更好地理解参与者的认知过程。这种实验设计有助于揭示学习曲线、记忆强度和遗忘曲线等基本认知原理。,1
"2以下针对runcmd中的三个功能模块（对应三个case）中进行编程。一、case‘‘:此处要实现的是通过sh操作linux本身自带的程序，如ls等。所以这部分模块需要做的就是解析主控台传来的指令(command)和参数分别是什么，并调用linux中相应的程序来完成工作。这里将使用到系统调用execvp()，exec家族的函数有个特点，就是当进程运行到这一函数以后，会产生独立的内存空间，并换上新的代码段继续工作，这里新的代码段由execvp()的参数决定，在本实验中就是linux中某自带程序。根据execvp的语法（参考链接：(3条消息)execvp函数详解_如何在C/C++中使用execvp（）函数_cunchi4221的博客-CSDN博客），将这部分模块更改如下：1.case'':2.ecmd=(structexeccmd*)cmd;3.if(ecmd->argv[0]==0)4.exit(0);5.//fprintf(stderr,""execnotimplemented\n"");6.//system(ecmd->argv[0]);//Yourcodehere...7.//execl(""/bin/sh"",""sh"",""-c"",ecmd->argv[0],(char*)0);8.execvp(ecmd->argv[0],ecmd->argv);9.break;二、case’<’,case’>’:此处模块要实现的是重定向功能，将会用到系统调用freopen，根据rcmd中存放的信息（file等）将输入或输出重定向到file语法参考：(3条消息)C/C++中的freopen()函数使用详解_chenjieping1995的博客-CSDN博客_freopen1.case'>':2.case'<':3.rcmd=(structredircmd*)cmd;4.FILE*stream;5.6.if(rcmd->fd==1)7.stream=freopen(rcmd->file,""w"",stdout);8.else9.freopen(rcmd->file,""r"",stdin);10.11.if(stream==NULL)12.fprintf(stderr,""errorredirecting\n"");13.else{14.runcmd(rcmd->cmd);315.fclose(stream);16.}17.break;三、case‘|’:这里要实现的是pipeline（管线）机制，主要用到pipe(),dup2(),close()几个系统调用。",0
2.关系模型使用声明式的数据查询和更新，数据的查询和更新语言简单，因此用户只需描述“做什么”，无需像层次/网状模型里详细指明“怎么做”，简化了程序员的工作和数据库开发建立的工作。5.请简要描述数据库系统的三级模式和两级映像以及它们如何体现的数据逻辑独立性与物理独立性。答：数据库系统的三级模式包括外模式、模式和内模式。数据库的用户级对应外模式，概念级对应模式，物理级对应内模式，而DBMS在三级模式之间提供两级映像，实现这三个抽象级别的联系和转换，两级映像分别为外模式/模式映像与模式/内模式映像。外模式是局部数据的逻辑结构和特征，是数据库的用户视图，存在于模式于应用之间，可以同时为多个应用程序所使用。,0
使用`accept()`函数接受客户端连接，为每个客户端连接创建一个新的套接字。3.通过套接字进行读取和解析。使用缓冲区存储从客户端接收到的数据，并解析HTTP请求头部，提取出请求方法和路径等信息。4.按照RFC2616规定的顺序处理并发请求。使用队列或其他数据结构来管理并发请求，确保按照请求的顺序进行处理和响应。,0
下面结合项目代码对一些实现细节进行介绍a)创建容器需要在HTML中创建一个用于容纳G6绘制的图的容器，通常为div标签。G6在绘制时会在该容器下追加canvas标签，然后将图绘制在其中。g6-graph.component.htmlb)数据准备引入G6的数据源为JSON格式的对象。该对象中需要有节点（nodes）和边（edges）字段c)图实例化图实例化时，至少需要为图设置容器、宽、高：d)图的渲染数据的加载和图的渲染是两个步骤，可以分开进行。e)元素及其配置图的元素特指图上的节点Node和边Edge。,0
这引发了对于无人系统是否应该具有致命性武器的争议，以及如何确保这些系统的合理使用。隐私问题方面，军事部门使用AI技术进行大规模数据收集和分析，这可能侵犯士兵和公民的隐私。伦理上的考量涉及到如何平衡国家安全和个人隐私权的关系。此外，AI在网络战争和信息战方面的应用也带来了伦理挑战，包括虚假信息的传播、网络攻击的后果等问题。,1
这有助于更好地满足学生的个体差异，提高学习效果。自适应学习系统：利用机器学习算法，自适应学习系统能够根据学生的反馈和表现动态调整教学内容和难度。这种个性化的反馈机制有助于学生更好地理解和掌握知识点。语音识别与发音纠正：语音识别技术可以用于教学中，帮助学生提高口语能力。,1
编写商品类、购物车类、订单类等相关代码。在这一阶段，可以充分利用所学的编程语言的面向对象特性。功能测试：实现各个模块后，进行功能测试。通过模拟用户的操作，测试系统的各项功能是否正常运行。,1
5.垃圾分类与处理5.1图像识别辅助垃圾分类借助计算机视觉技术，智能垃圾桶可以通过图像识别技术自动分类垃圾，提高垃圾回收效率。5.2垃圾填埋场监测使用传感器和人工智能技术监测垃圾填埋场的气体排放和液体渗漏，以便及时发现环境污染问题。6.灾害应对与预警6.1地震和洪水预测结合大量地质和气象数据，人工智能可用于预测地震和洪水的发生概率，提高社区对自然灾害的预警和应对能力。6.2空间数据分析卫星数据和人工智能结合，可以进行大范围的空间数据分析，监测环境变化，及时发现灾害和环境污染。,1
"2.backward_prob=0.130218:这个值是后向算法计算出的观察序列的概率，也是P(O|M)，与前向算法的结果一致，这是HMM的性质。3.state(2,2)prob=0.405750:这部分提供了特定时间步（t=2）和状态（2）的概率，即在时间步2处于状态2的概率为0.405750。4.best_state_sequence:[2,2,1],best_prob=0.017640:这是维特比解码算法的结果，表示在给定观察序列O和HMM模型的情况下，最可能的状态序列是[2,2,1]，且出现的概率为0.017640。实验三基于Wenet的连续语音识别系统实现（2学时）一、实践要求通过对开源语音识别工具包Wenet的学习，掌握完整的端到端语音识别流程，通过主动调整模型训练参数并观察最终的模型性能表现，与其他学生的结果进行对比，分析影响模型训练的重要影响因素，自行平衡模型性能与训练成本之间的关系。二、实践内容阅读实验手册，学习语音识别模型训练数据生成和语音识别模型的训练流程，并按照学习手册中的提示，逐步执行run.sh脚本进行相关实验，观察每个步骤生成的文件以及对应的结果，掌握每个步骤对应的功能，主动调整模型训练参数并观察最终的模型性能表现。",0
"检查作者1和作者2是否已经有合作关系，如果已经有，则增加合作关系的权重，否则添加一条有向边表示合作关系，初始化权重为1。使用`nx.closeness_centrality(G)`计算图G中每个节点的亲近中心性。亲近中心性用于衡量节点与其他节点之间的亲近程度，这里用于度量作者之间的关联密切程度。最后使用`sorted(closeness_centrality.items(),key=lambdax:x[1],reverse=True)`对亲近中心性结果进行排序，按照亲近中心性的降序排列。遍历排序后的结果，打印每位作者的名字和其亲近中心性分数。",0
"我们需要更改seqnumacknum为下一个包的seqnumacknum让其01序列交替向下计算checksum改变其状态为WAIT进行下一步A_input(packet)：当收包时我们需要先检查checksum是否为0不为0时包损坏需要有后续重传操作为0的话则比较ACK是否为想要的ACK值如果正确则进行下一步如果不正确则为ACK损坏会开启重传机制A_timerinterrupt()：本函数主要处理超时问题如下图中的超时重传所以我们先要输出重传的语句然后调用tolayer3()以及starttimer(0,20.0)两个函数对重传操作进行处理A_init()B_init()：这两个例程将被调用一次（仅）在其他任何实例实体A被调用之前我们可以用它做任何初始化我们可以看前面的代码分别对这两个进行了什么样的变量定义并对其初始化B_input()：此函数最为重要但是操作与上述函数相似会出现包损坏以及ACK码不对的问题处理与函数A_input()差不多注意里面seqnumacknum的更改以及checksum的计算4.2Go-Back-N协议的实现A_output(message)：此函数我们先要确定窗口是否可以向后滑，如果基础位和窗口位相加小于我想要的包的位置，窗口无法向后滑动，窗口最后一位已经可以包含发送的最后一个包，返回-1。之后操作就为正常传包，进行seqnum和acknum的改变和计算checksum。除此之外，我们需要确定报文是否与接收窗口一致，如果不一致需要进行处理A_input(packet)：我们此函数需要判断checksum值是否正确来判断是否出现错误要让包重传A_timerinterrupt()：此函数定义时钟周期超时重传从下标base到nestseq的包都重传A_init()B_init()：进行初始化的函数，base从0开始从第一个包开始发送对nextseq也进行初始化都置为0B端为初始化当及参数为-1时结束与前文的A_input函数return-1的情形一致B_input()：此函数我们需要先判断包是否有损坏和传输错误，以及判断包是否是我需要的，是否是第一次正确传送过来。如果损害，那么重传，如果出现了包重复发送那么丢弃，我们需要判断是否重复传输重复了，或者是下一个轮次里的相同序号的包。五、实验结果及分析5.1Stop-and-Wait协议的功能测试与结果分析1）无error无loss的情况下，数据包能够正确发送和接收：部分输出图如下：第一种情况所有包都可以正常发送B端都可以接收到包A端ACK都为成功2）没有loss，只有error的情况。",0
